CGPA,Internship Type,Programming Language,Technology,Company,Job Role
9.1,AIML,Java,AI,"OpenAI, Microsoft, Amazon",Data Scientist
8.0,Web Dev,JavaScript,Backend,"TCS, SAP, IBM",Web Developer
8.1,Software Dev,Python,Data Analytics,"Capgemini, Infosys, Oracle",Software Developer
7.7,Cloud,SQL,Data Analytics,"TCS, HCL, Wipro",Cloud Engineer
6.1,AIML,R,Data Analytics,"HCL, NIIT Technologies, Mphasis",Data Scientist
6.4,Software Dev,C#,Backend,"HCL, NIIT Technologies, Mphasis",Data Analyst
6.1,Cloud,SQL,Data Analytics,"Birlasoft, Mphasis, Mindtree",Cloud Engineer
8.5,Cybersecurity,C++,Cybersecurity,"Infosys, Capgemini, SAP",Cybersecurity Engineer
7.3,Cloud,SQL,Data Analytics,"Infosys, Wipro, HCL",DevOps Engineer
8.0,DevOps,Go,Cloud Computing,"Oracle, SAP, IBM",System Engineer
9.6,Cybersecurity,C++,Cybersecurity,"IBM, OpenAI, Google",Cloud Engineer
7.0,Cybersecurity,C++,AI,"Wipro, Infosys, TCS",Cybersecurity Engineer
7.6,DevOps,SQL,DBMS,"TCS, Cognizant, Tech Mahindra",DevOps Engineer
9.0,Cybersecurity,C++,Cybersecurity,"IBM, NVIDIA, Microsoft",Cybersecurity Engineer
6.9,Cybersecurity,C++,Cybersecurity,"Mindtree, NIIT Technologies, Birlasoft",Cloud Engineer
6.3,Software Dev,C#,Backend,"HCL, Mindtree, Mphasis",Software Developer
7.2,Software Dev,C#,DBMS,"Infosys, HCL, Wipro",Data Analyst
6.6,Cloud,Python,Cloud Computing,"Birlasoft, Mindtree, NIIT Technologies",Cloud Engineer
9.7,Web Dev,TypeScript,Backend,"Amazon, Microsoft, Apple",Web Developer
9.2,Cloud,Go,Cloud Computing,"Microsoft, Apple, NVIDIA",DevOps Engineer
8.5,Cloud,Go,Cloud Computing,"TCS, Oracle, Infosys",Cloud Engineer
9.5,DevOps,SQL,Data Analytics,"IBM, Microsoft, NVIDIA",DevOps Engineer
9.2,Cloud,Go,Big Data,"OpenAI, Apple, Microsoft",Cloud Engineer
6.7,Cloud,SQL,Data Analytics,"Mindtree, Mphasis, Birlasoft",DevOps Engineer
9.6,Software Dev,Java,Big Data,"NVIDIA, Microsoft, Google",Data Analyst
8.2,Cybersecurity,Rust,Cybersecurity,"Infosys, SAP, IBM",Cloud Engineer
9.2,AIML,R,ML,"Amazon, NVIDIA, OpenAI",AI Engineer
9.6,Cloud,Go,Cloud Computing,"OpenAI, Microsoft, Apple",Cloud Engineer
7.3,Cloud,Python,Cloud Computing,"HCL, Cognizant, Wipro",Cloud Engineer
6.4,Cloud,Go,Cloud Computing,"NIIT Technologies, HCL, Mphasis",Cloud Engineer
6.9,Cybersecurity,C++,AI,"Birlasoft, NIIT Technologies, Mphasis",Cloud Engineer
7.7,Web Dev,JavaScript,Backend,"Cognizant, HCL, TCS",Software Developer
9.3,AIML,Python,ML,"OpenAI, Apple, IBM",AI Engineer
9.4,Cybersecurity,Rust,Cybersecurity,"Microsoft, NVIDIA, Google",Cloud Engineer
6.0,Software Dev,C#,DBMS,"Birlasoft, Mindtree, HCL",Data Analyst
8.0,Cloud,Go,Big Data,"SAP, TCS, Infosys",DevOps Engineer
7.7,Web Dev,SQL,DBMS,"Tech Mahindra, Infosys, Cognizant",Web Developer
6.9,AIML,Java,Big Data,"NIIT Technologies, Mphasis, Mindtree",Data Scientist
6.5,Software Dev,Java,Backend,"NIIT Technologies, Mindtree, Mphasis",Software Developer
7.4,AIML,R,ML,"Tech Mahindra, HCL, Cognizant",Data Scientist
9.8,Web Dev,SQL,Data Analytics,"Amazon, NVIDIA, OpenAI",Software Developer
7.3,AIML,Java,AI,"HCL, Cognizant, Tech Mahindra",Data Scientist
8.1,Web Dev,SQL,Data Analytics,"IBM, Oracle, SAP",Web Developer
8.8,Cybersecurity,C++,AI,"Capgemini, IBM, Oracle",Cybersecurity Engineer
7.5,Web Dev,SQL,Data Analytics,"Wipro, HCL, Cognizant",Web Developer
9.9,Cloud,Python,DevOps,"IBM, NVIDIA, OpenAI",DevOps Engineer
9.8,DevOps,TypeScript,Backend,"Google, NVIDIA, IBM",System Engineer
7.0,AIML,R,ML,"HCL, TCS, Cognizant",Data Scientist
8.0,Cybersecurity,C++,Cybersecurity,"Infosys, SAP, IBM",Cybersecurity Engineer
7.2,Cybersecurity,Rust,Cybersecurity,"Wipro, Cognizant, Infosys",Cybersecurity Engineer
7.1,AIML,R,Data Analytics,"TCS, Tech Mahindra, Cognizant",Data Scientist
6.1,Software Dev,Python,Big Data,"Mphasis, HCL, Mindtree",Data Analyst
8.4,Cloud,Python,DevOps,"Capgemini, SAP, Oracle",DevOps Engineer
8.0,Cybersecurity,Rust,Front End,"SAP, Capgemini, Infosys",Cloud Engineer
6.2,Web Dev,SQL,Data Analytics,"Mindtree, Birlasoft, HCL",Software Developer
7.1,Web Dev,TypeScript,Backend,"Wipro, TCS, Cognizant",Software Developer
9.6,DevOps,Go,Cloud Computing,"Apple, OpenAI, Microsoft",System Engineer
7.0,AIML,R,ML,"Infosys, Tech Mahindra, Wipro",Data Scientist
6.6,Cloud,Go,Cloud Computing,"Birlasoft, Mphasis, NIIT Technologies",DevOps Engineer
8.0,Cybersecurity,C++,Cybersecurity,"SAP, Infosys, Capgemini",Cybersecurity Engineer
9.9,AIML,Python,Big Data,"Microsoft, Amazon, IBM",AI Engineer
7.0,Web Dev,SQL,DBMS,"Wipro, TCS, Cognizant",Software Developer
8.7,Cybersecurity,Rust,Cybersecurity,"Infosys, Capgemini, SAP",Cloud Engineer
9.0,Cybersecurity,C++,Cybersecurity,"Google, OpenAI, Microsoft",Cybersecurity Engineer
7.0,Cloud,Go,Big Data,"HCL, Wipro, TCS",DevOps Engineer
8.9,Cloud,Python,Cloud Computing,"TCS, SAP, Oracle",DevOps Engineer
7.5,Cloud,Python,DevOps,"Wipro, Cognizant, TCS",DevOps Engineer
8.5,AIML,Python,ML,"Capgemini, IBM, TCS",Data Scientist
8.5,AIML,Java,Big Data,"SAP, TCS, Capgemini",Data Scientist
8.1,Software Dev,Python,Data Analytics,"Infosys, IBM, Capgemini",Data Analyst
6.4,Software Dev,C#,Backend,"NIIT Technologies, Mphasis, Mindtree",Software Developer
9.3,Web Dev,SQL,DBMS,"Apple, Microsoft, NVIDIA",Web Developer
7.3,Cloud,SQL,Data Analytics,"TCS, Cognizant, HCL",Cloud Engineer
6.7,Cloud,Python,Cloud Computing,"NIIT Technologies, Birlasoft, Mindtree",Cloud Engineer
6.2,Software Dev,Java,Backend,"Mphasis, NIIT Technologies, Birlasoft",System Engineer
8.4,Software Dev,Java,Backend,"TCS, SAP, Oracle",Data Analyst
8.7,Cybersecurity,C++,Cybersecurity,"SAP, Oracle, Infosys",Cybersecurity Engineer
6.1,Cybersecurity,Rust,Cybersecurity,"Mindtree, Birlasoft, NIIT Technologies",Cybersecurity Engineer
8.0,Cybersecurity,Rust,Front End,"IBM, Capgemini, Oracle",Cloud Engineer
6.9,Software Dev,Java,Big Data,"Birlasoft, Mindtree, Mphasis",System Engineer
8.6,Web Dev,TypeScript,Front End,"Capgemini, IBM, TCS",Web Developer
6.7,DevOps,TypeScript,DevOps,"NIIT Technologies, Mphasis, Mindtree",DevOps Engineer
8.8,Web Dev,TypeScript,Backend,"Infosys, IBM, Oracle",Web Developer
7.5,Web Dev,TypeScript,Front End,"Cognizant, HCL, Tech Mahindra",Web Developer
9.7,Cloud,Python,DevOps,"Microsoft, IBM, Amazon",Cloud Engineer
6.6,Cloud,Go,Cloud Computing,"Birlasoft, Mindtree, Mphasis",Cloud Engineer
7.4,Cybersecurity,C++,AI,"Tech Mahindra, TCS, Wipro",Cloud Engineer
6.5,Cloud,Python,DevOps,"Mindtree, NIIT Technologies, Birlasoft",DevOps Engineer
9.7,DevOps,TypeScript,Backend,"NVIDIA, Amazon, Apple",DevOps Engineer
9.5,Cloud,SQL,DBMS,"NVIDIA, Microsoft, Google",Cloud Engineer
7.0,DevOps,TypeScript,Backend,"Tech Mahindra, HCL, TCS",System Engineer
8.6,Software Dev,Python,Big Data,"SAP, Infosys, TCS",Software Developer
9.3,DevOps,Go,Cloud Computing,"OpenAI, Google, Amazon",System Engineer
8.2,Cloud,SQL,DBMS,"TCS, Oracle, Capgemini",Cloud Engineer
8.1,Web Dev,TypeScript,Front End,"Infosys, SAP, IBM",Web Developer
7.0,Cybersecurity,Rust,Cybersecurity,"Wipro, Cognizant, Tech Mahindra",Cloud Engineer
6.4,Web Dev,TypeScript,Backend,"HCL, Birlasoft, Mphasis",Web Developer
9.6,Web Dev,JavaScript,Backend,"Microsoft, Google, Amazon",Software Developer
9.6,Web Dev,SQL,Data Analytics,"Microsoft, Amazon, Apple",Web Developer
8.5,DevOps,Go,Cloud Computing,"Infosys, Capgemini, Oracle",DevOps Engineer
7.4,AIML,R,Data Analytics,"HCL, Wipro, TCS",Data Scientist
7.4,Web Dev,SQL,Data Analytics,"Cognizant, TCS, Wipro",Web Developer
8.9,Software Dev,C#,Backend,"Capgemini, SAP, IBM",Data Analyst
9.6,Web Dev,JavaScript,Backend,"NVIDIA, OpenAI, Microsoft",Web Developer
9.5,Cybersecurity,Rust,Cybersecurity,"NVIDIA, OpenAI, IBM",Cybersecurity Engineer
9.1,Cybersecurity,Rust,Front End,"Amazon, Microsoft, IBM",Cloud Engineer
8.6,Cybersecurity,C++,Cybersecurity,"Oracle, SAP, TCS",Cloud Engineer
6.3,Cloud,Go,Cloud Computing,"Mphasis, NIIT Technologies, Birlasoft",Cloud Engineer
6.6,AIML,R,Data Analytics,"Mindtree, Mphasis, NIIT Technologies",Data Scientist
9.6,Cloud,Go,Big Data,"Apple, Microsoft, Amazon",DevOps Engineer
8.4,Web Dev,JavaScript,Backend,"SAP, TCS, IBM",Software Developer
6.0,DevOps,TypeScript,Backend,"Birlasoft, HCL, Mphasis",DevOps Engineer
6.4,DevOps,Go,Cloud Computing,"HCL, Mindtree, Mphasis",System Engineer
8.7,Software Dev,C#,DBMS,"TCS, Oracle, SAP",System Engineer
6.0,Software Dev,C#,DBMS,"Mindtree, Birlasoft, Mphasis",Data Analyst
6.6,Cloud,Python,Cloud Computing,"Mindtree, Mphasis, Birlasoft",Cloud Engineer
8.2,DevOps,TypeScript,Backend,"SAP, TCS, IBM",DevOps Engineer
8.8,Cloud,SQL,DBMS,"TCS, Capgemini, SAP",Cloud Engineer
8.6,DevOps,SQL,Data Analytics,"TCS, Oracle, SAP",DevOps Engineer
6.9,DevOps,SQL,DBMS,"Birlasoft, Mphasis, NIIT Technologies",DevOps Engineer
8.8,Cloud,Go,Cloud Computing,"Infosys, TCS, IBM",DevOps Engineer
6.9,Cloud,Go,Big Data,"NIIT Technologies, Birlasoft, Mindtree",Cloud Engineer
7.3,DevOps,SQL,DBMS,"Infosys, HCL, TCS",DevOps Engineer
9.0,DevOps,SQL,Data Analytics,"NVIDIA, Apple, IBM",System Engineer
8.6,Cybersecurity,C++,Cybersecurity,"Oracle, Infosys, TCS",Cloud Engineer
9.4,Cloud,Go,Cloud Computing,"Google, OpenAI, Microsoft",DevOps Engineer
8.6,Cloud,Go,Big Data,"Infosys, Capgemini, Oracle",DevOps Engineer
8.3,Software Dev,Java,Big Data,"Oracle, SAP, Capgemini",Data Analyst
6.4,Web Dev,SQL,DBMS,"Mindtree, Mphasis, Birlasoft",Software Developer
7.5,Software Dev,Java,Big Data,"Cognizant, Wipro, TCS",Software Developer
7.1,Cloud,Go,Cloud Computing,"Infosys, Wipro, Cognizant",Cloud Engineer
7.0,Software Dev,Java,Big Data,"Infosys, Cognizant, Wipro",Software Developer
9.9,Cybersecurity,Rust,Front End,"Amazon, OpenAI, Google",Cybersecurity Engineer
7.6,DevOps,Go,DevOps,"HCL, Wipro, Infosys",System Engineer
9.6,AIML,Python,Big Data,"Amazon, Apple, OpenAI",AI Engineer
8.5,Web Dev,TypeScript,Front End,"Oracle, Infosys, Capgemini",Web Developer
9.2,Cybersecurity,C++,Cybersecurity,"Google, Amazon, OpenAI",Cybersecurity Engineer
8.0,Cloud,Go,Big Data,"Capgemini, TCS, IBM",Cloud Engineer
8.3,Cloud,SQL,DBMS,"SAP, Capgemini, IBM",DevOps Engineer
8.0,Software Dev,C#,Backend,"Infosys, IBM, SAP",Software Developer
6.8,Cybersecurity,C++,Cybersecurity,"Mindtree, Birlasoft, Mphasis",Cybersecurity Engineer
8.9,DevOps,Go,Cloud Computing,"IBM, SAP, Oracle",DevOps Engineer
7.1,Cloud,SQL,DBMS,"HCL, Wipro, Infosys",DevOps Engineer
6.1,Cybersecurity,Rust,Front End,"Mphasis, Mindtree, NIIT Technologies",Cloud Engineer
8.6,Web Dev,TypeScript,Front End,"Capgemini, IBM, SAP",Web Developer
6.7,AIML,Python,ML,"NIIT Technologies, Mphasis, Mindtree",Data Scientist
9.8,Software Dev,C#,DBMS,"Amazon, Microsoft, Apple",Data Analyst
9.8,Cybersecurity,C++,AI,"IBM, Microsoft, OpenAI",Cybersecurity Engineer
9.7,Web Dev,SQL,DBMS,"Amazon, OpenAI, Apple",Web Developer
7.5,DevOps,SQL,DBMS,"HCL, Cognizant, TCS",System Engineer
6.1,Web Dev,TypeScript,Front End,"NIIT Technologies, Birlasoft, Mindtree",Software Developer
9.7,DevOps,TypeScript,Backend,"Apple, OpenAI, Amazon",DevOps Engineer
7.7,Cloud,SQL,Data Analytics,"Wipro, Tech Mahindra, Cognizant",Cloud Engineer
9.9,DevOps,TypeScript,DevOps,"Apple, OpenAI, Microsoft",DevOps Engineer
9.9,Software Dev,Python,Data Analytics,"Amazon, NVIDIA, OpenAI",Data Analyst
9.4,Cybersecurity,Rust,Cybersecurity,"Microsoft, IBM, OpenAI",Cloud Engineer
7.2,Software Dev,Java,Backend,"Wipro, HCL, Cognizant",Data Analyst
7.5,Cybersecurity,C++,AI,"HCL, Wipro, Infosys",Cybersecurity Engineer
9.4,Cybersecurity,Rust,Cybersecurity,"OpenAI, NVIDIA, Google",Cybersecurity Engineer
7.3,DevOps,SQL,DBMS,"Tech Mahindra, Wipro, Cognizant",DevOps Engineer
6.7,AIML,Python,ML,"Mindtree, Birlasoft, Mphasis",Data Scientist
8.2,Cloud,SQL,DBMS,"SAP, Infosys, Oracle",DevOps Engineer
9.7,Cloud,Go,Cloud Computing,"NVIDIA, Amazon, Google",DevOps Engineer
8.8,AIML,Java,Big Data,"IBM, SAP, TCS",AI Engineer
8.3,Web Dev,SQL,Data Analytics,"IBM, Infosys, SAP",Software Developer
6.4,Web Dev,SQL,DBMS,"Mindtree, Birlasoft, HCL",Software Developer
8.5,DevOps,TypeScript,Backend,"TCS, SAP, Oracle",DevOps Engineer
10.0,Software Dev,C#,DBMS,"Amazon, OpenAI, NVIDIA",Data Analyst
6.6,Cybersecurity,C++,Cybersecurity,"Mphasis, Mindtree, Birlasoft",Cybersecurity Engineer
8.1,DevOps,SQL,DBMS,"SAP, Oracle, Infosys",System Engineer
9.5,AIML,R,Data Analytics,"Amazon, NVIDIA, Apple",AI Engineer
9.0,AIML,Python,Big Data,"NVIDIA, Google, Apple",AI Engineer
8.8,Cybersecurity,Rust,Front End,"TCS, Capgemini, IBM",Cloud Engineer
8.8,Web Dev,SQL,DBMS,"SAP, Capgemini, Oracle",Software Developer
7.4,Cloud,SQL,Data Analytics,"TCS, Infosys, Cognizant",Cloud Engineer
7.2,Web Dev,TypeScript,Front End,"Infosys, Wipro, Tech Mahindra",Web Developer
9.2,Cloud,Go,Big Data,"Amazon, Microsoft, NVIDIA",DevOps Engineer
9.2,Software Dev,Java,Backend,"Microsoft, OpenAI, Amazon",System Engineer
9.5,AIML,Python,Big Data,"IBM, NVIDIA, OpenAI",AI Engineer
9.7,AIML,Java,Big Data,"NVIDIA, Apple, Microsoft",AI Engineer
8.0,AIML,Java,AI,"Capgemini, Infosys, SAP",AI Engineer
8.0,Web Dev,JavaScript,Backend,"Oracle, Infosys, SAP",Software Developer
9.2,Cybersecurity,Rust,Front End,"IBM, Apple, OpenAI",Cloud Engineer
8.6,DevOps,TypeScript,DevOps,"SAP, Infosys, Capgemini",DevOps Engineer
8.8,DevOps,Go,Cloud Computing,"Oracle, SAP, TCS",System Engineer
9.2,Cybersecurity,Rust,Front End,"Microsoft, NVIDIA, Apple",Cloud Engineer
9.6,Cybersecurity,Rust,Cybersecurity,"IBM, Microsoft, NVIDIA",Cybersecurity Engineer
7.4,DevOps,SQL,Data Analytics,"Cognizant, Tech Mahindra, TCS",System Engineer
7.5,Cybersecurity,Rust,Front End,"Tech Mahindra, Cognizant, Infosys",Cloud Engineer
6.4,Software Dev,Python,Data Analytics,"HCL, NIIT Technologies, Birlasoft",Software Developer
8.3,Web Dev,SQL,DBMS,"TCS, Infosys, Capgemini",Software Developer
6.1,Cloud,SQL,Data Analytics,"NIIT Technologies, HCL, Mindtree",DevOps Engineer
7.9,Cybersecurity,C++,AI,"HCL, TCS, Cognizant",Cloud Engineer
8.2,DevOps,SQL,Data Analytics,"TCS, Capgemini, Oracle",System Engineer
7.1,Software Dev,C#,Backend,"HCL, Infosys, TCS",Software Developer
8.4,Software Dev,Python,Data Analytics,"Capgemini, SAP, Infosys",Software Developer
6.1,AIML,R,Data Analytics,"HCL, Mindtree, NIIT Technologies",Data Scientist
6.1,Cloud,Python,Cloud Computing,"HCL, NIIT Technologies, Mindtree",DevOps Engineer
9.3,Web Dev,TypeScript,Backend,"OpenAI, NVIDIA, Microsoft",Software Developer
7.4,Software Dev,C#,Backend,"Infosys, HCL, Wipro",System Engineer
6.5,Software Dev,Java,Big Data,"Mphasis, NIIT Technologies, Mindtree",Data Analyst
8.1,DevOps,TypeScript,Backend,"TCS, Infosys, Capgemini",DevOps Engineer
9.1,Web Dev,SQL,Data Analytics,"Microsoft, Apple, Google",Web Developer
6.9,DevOps,SQL,DBMS,"Mphasis, Birlasoft, Mindtree",System Engineer
8.5,Software Dev,Python,Data Analytics,"Infosys, TCS, Oracle",Software Developer
6.3,AIML,Python,ML,"Birlasoft, HCL, Mphasis",Data Scientist
6.2,DevOps,SQL,Data Analytics,"Mphasis, Birlasoft, NIIT Technologies",System Engineer
8.1,AIML,R,ML,"Oracle, SAP, TCS",Data Scientist
8.2,DevOps,TypeScript,DevOps,"Oracle, TCS, IBM",System Engineer
8.5,AIML,R,Data Analytics,"IBM, Capgemini, TCS",AI Engineer
8.9,AIML,Java,AI,"IBM, SAP, Infosys",AI Engineer
9.9,DevOps,Go,DevOps,"Amazon, NVIDIA, OpenAI",System Engineer
8.1,DevOps,Go,Cloud Computing,"Infosys, Capgemini, SAP",DevOps Engineer
7.3,Cloud,Python,DevOps,"Tech Mahindra, Infosys, HCL",DevOps Engineer
9.2,Software Dev,Python,Big Data,"NVIDIA, Microsoft, Google",Data Analyst
7.1,Web Dev,SQL,Data Analytics,"Cognizant, Wipro, Infosys",Software Developer
7.8,Cybersecurity,Rust,Cybersecurity,"Wipro, HCL, Tech Mahindra",Cybersecurity Engineer
6.3,Software Dev,Python,Data Analytics,"NIIT Technologies, Mphasis, Birlasoft",Software Developer
6.1,Cloud,Python,DevOps,"HCL, NIIT Technologies, Mindtree",Cloud Engineer
9.9,Cybersecurity,C++,AI,"Amazon, IBM, Apple",Cybersecurity Engineer
9.3,Web Dev,JavaScript,Backend,"NVIDIA, OpenAI, IBM",Web Developer
8.8,Cloud,Go,Cloud Computing,"TCS, IBM, Capgemini",DevOps Engineer
7.6,Software Dev,Python,Data Analytics,"TCS, HCL, Infosys",Data Analyst
