CGPA,Internship Type,Programming Language,Technology,Company,Job Role
7.4,Software Dev,Python,Data Analytics,Wipro,System Engineer
6.5,Cybersecurity,Rust,Front End,Mindtree,Cloud Engineer
9.5,Web Dev,TypeScript,Front End,OpenAI,Web Developer
8.5,AIML,Python,Big Data,Capgemini,Data Scientist
7.3,Web Dev,JavaScript,Backend,TCS,Web Developer
6.3,Cloud,SQL,Data Analytics,Birlasoft,Cloud Engineer
7.2,AIML,Python,ML,Infosys,Data Scientist
7.3,Cloud,Python,Cloud Computing,Wipro,Cloud Engineer
8.9,Software Dev,C#,DBMS,Oracle,Data Analyst
8.6,Software Dev,Java,Big Data,Capgemini,System Engineer
9.5,Cybersecurity,C++,Cybersecurity,IBM,Cybersecurity Engineer
7.9,Cybersecurity,C++,Cybersecurity,Cognizant,Cybersecurity Engineer
6.5,Software Dev,C#,DBMS,Mindtree,Data Analyst
8.9,DevOps,TypeScript,Backend,Capgemini,System Engineer
9.0,Software Dev,Python,Big Data,IBM,System Engineer
8.2,DevOps,Go,Cloud Computing,IBM,System Engineer
9.1,AIML,Java,AI,OpenAI,Data Scientist
8.0,Web Dev,JavaScript,Backend,TCS,Web Developer
8.1,Software Dev,Python,Data Analytics,Capgemini,Software Developer
7.7,Cloud,SQL,Data Analytics,TCS,Cloud Engineer
6.1,AIML,R,Data Analytics,HCL,Data Scientist
6.4,Software Dev,C#,Backend,HCL,Data Analyst
6.1,Cloud,SQL,Data Analytics,Birlasoft,Cloud Engineer
8.5,Cybersecurity,C++,Cybersecurity,Infosys,Cybersecurity Engineer
7.3,Cloud,SQL,Data Analytics,Infosys,DevOps Engineer
8.0,DevOps,Go,Cloud Computing,Oracle,System Engineer
9.6,Cybersecurity,C++,Cybersecurity,IBM,Cloud Engineer
7.0,Cybersecurity,C++,AI,Wipro,Cybersecurity Engineer
7.6,DevOps,SQL,DBMS,TCS,DevOps Engineer
9.0,Cybersecurity,C++,Cybersecurity,IBM,Cybersecurity Engineer
6.9,Cybersecurity,C++,Cybersecurity,Mindtree,Cloud Engineer
6.3,Software Dev,C#,Backend,HCL,Software Developer
7.2,Software Dev,C#,DBMS,Infosys,Data Analyst
6.6,Cloud,Python,Cloud Computing,Birlasoft,Cloud Engineer
9.7,Web Dev,TypeScript,Backend,Amazon,Web Developer
9.2,Cloud,Go,Cloud Computing,Microsoft,DevOps Engineer
8.5,Cloud,Go,Cloud Computing,TCS,Cloud Engineer
9.5,DevOps,SQL,Data Analytics,IBM,DevOps Engineer
9.2,Cloud,Go,Big Data,OpenAI,Cloud Engineer
6.7,Cloud,SQL,Data Analytics,Mindtree,DevOps Engineer
9.6,Software Dev,Java,Big Data,NVIDIA,Data Analyst
8.2,Cybersecurity,Rust,Cybersecurity,Infosys,Cloud Engineer
9.2,AIML,R,ML,Amazon,AI Engineer
9.6,Cloud,Go,Cloud Computing,OpenAI,Cloud Engineer
7.3,Cloud,Python,Cloud Computing,HCL,Cloud Engineer
6.4,Cloud,Go,Cloud Computing,NIIT Technologies,Cloud Engineer
6.9,Cybersecurity,C++,AI,Birlasoft,Cloud Engineer
7.7,Web Dev,JavaScript,Backend,Cognizant,Software Developer
9.3,AIML,Python,ML,OpenAI,AI Engineer
9.4,Cybersecurity,Rust,Cybersecurity,Microsoft,Cloud Engineer
6.0,Software Dev,C#,DBMS,Birlasoft,Data Analyst
8.0,Cloud,Go,Big Data,SAP,DevOps Engineer
7.7,Web Dev,SQL,DBMS,Tech Mahindra,Web Developer
6.9,AIML,Java,Big Data,NIIT Technologies,Data Scientist
6.5,Software Dev,Java,Backend,NIIT Technologies,Software Developer
7.4,AIML,R,ML,Tech Mahindra,Data Scientist
9.8,Web Dev,SQL,Data Analytics,Amazon,Software Developer
7.3,AIML,Java,AI,HCL,Data Scientist
8.1,Web Dev,SQL,Data Analytics,IBM,Web Developer
8.8,Cybersecurity,C++,AI,Capgemini,Cybersecurity Engineer
7.5,Web Dev,SQL,Data Analytics,Wipro,Web Developer
9.9,Cloud,Python,DevOps,IBM,DevOps Engineer
9.8,DevOps,TypeScript,Backend,Google,System Engineer
7.0,AIML,R,ML,HCL,Data Scientist
8.0,Cybersecurity,C++,Cybersecurity,Infosys,Cybersecurity Engineer
7.2,Cybersecurity,Rust,Cybersecurity,Wipro,Cybersecurity Engineer
7.1,AIML,R,Data Analytics,TCS,Data Scientist
6.1,Software Dev,Python,Big Data,Mphasis,Data Analyst
8.4,Cloud,Python,DevOps,Capgemini,DevOps Engineer
8.0,Cybersecurity,Rust,Front End,SAP,Cloud Engineer
6.2,Web Dev,SQL,Data Analytics,Mindtree,Software Developer
7.1,Web Dev,TypeScript,Backend,Wipro,Software Developer
9.6,DevOps,Go,Cloud Computing,Apple,System Engineer
7.0,AIML,R,ML,Infosys,Data Scientist
6.6,Cloud,Go,Cloud Computing,Birlasoft,DevOps Engineer
8.0,Cybersecurity,C++,Cybersecurity,SAP,Cybersecurity Engineer
9.9,AIML,Python,Big Data,Microsoft,AI Engineer
7.0,Web Dev,SQL,DBMS,Wipro,Software Developer
8.7,Cybersecurity,Rust,Cybersecurity,Infosys,Cloud Engineer
9.0,Cybersecurity,C++,Cybersecurity,Google,Cybersecurity Engineer
7.0,Cloud,Go,Big Data,HCL,DevOps Engineer
8.9,Cloud,Python,Cloud Computing,TCS,DevOps Engineer
7.5,Cloud,Python,DevOps,Wipro,DevOps Engineer
8.5,AIML,Python,ML,Capgemini,Data Scientist
8.5,AIML,Java,Big Data,SAP,Data Scientist
8.1,Software Dev,Python,Data Analytics,Infosys,Data Analyst
6.4,Software Dev,C#,Backend,NIIT Technologies,Software Developer
9.3,Web Dev,SQL,DBMS,Apple,Web Developer
7.3,Cloud,SQL,Data Analytics,TCS,Cloud Engineer
6.7,Cloud,Python,Cloud Computing,NIIT Technologies,Cloud Engineer
6.2,Software Dev,Java,Backend,Mphasis,System Engineer
8.4,Software Dev,Java,Backend,TCS,Data Analyst
8.7,Cybersecurity,C++,Cybersecurity,SAP,Cybersecurity Engineer
6.1,Cybersecurity,Rust,Cybersecurity,Mindtree,Cybersecurity Engineer
8.0,Cybersecurity,Rust,Front End,IBM,Cloud Engineer
6.9,Software Dev,Java,Big Data,Birlasoft,System Engineer
8.6,Web Dev,TypeScript,Front End,Capgemini,Web Developer
6.7,DevOps,TypeScript,DevOps,NIIT Technologies,DevOps Engineer
8.8,Web Dev,TypeScript,Backend,Infosys,Web Developer
7.5,Web Dev,TypeScript,Front End,Cognizant,Web Developer
9.7,Cloud,Python,DevOps,Microsoft,Cloud Engineer
6.6,Cloud,Go,Cloud Computing,Birlasoft,Cloud Engineer
7.4,Cybersecurity,C++,AI,Tech Mahindra,Cloud Engineer
6.5,Cloud,Python,DevOps,Mindtree,DevOps Engineer
9.7,DevOps,TypeScript,Backend,NVIDIA,DevOps Engineer
9.5,Cloud,SQL,DBMS,NVIDIA,Cloud Engineer
7.0,DevOps,TypeScript,Backend,Tech Mahindra,System Engineer
8.6,Software Dev,Python,Big Data,SAP,Software Developer
9.3,DevOps,Go,Cloud Computing,OpenAI,System Engineer
8.2,Cloud,SQL,DBMS,TCS,Cloud Engineer
8.1,Web Dev,TypeScript,Front End,Infosys,Web Developer
7.0,Cybersecurity,Rust,Cybersecurity,Wipro,Cloud Engineer
6.4,Web Dev,TypeScript,Backend,HCL,Web Developer
9.6,Web Dev,JavaScript,Backend,Microsoft,Software Developer
9.6,Web Dev,SQL,Data Analytics,Microsoft,Web Developer
8.5,DevOps,Go,Cloud Computing,Infosys,DevOps Engineer
7.4,AIML,R,Data Analytics,HCL,Data Scientist
7.4,Web Dev,SQL,Data Analytics,Cognizant,Web Developer
8.9,Software Dev,C#,Backend,Capgemini,Data Analyst
9.6,Web Dev,JavaScript,Backend,NVIDIA,Web Developer
9.5,Cybersecurity,Rust,Cybersecurity,NVIDIA,Cybersecurity Engineer
9.1,Cybersecurity,Rust,Front End,Amazon,Cloud Engineer
8.6,Cybersecurity,C++,Cybersecurity,Oracle,Cloud Engineer
6.3,Cloud,Go,Cloud Computing,Mphasis,Cloud Engineer
6.6,AIML,R,Data Analytics,Mindtree,Data Scientist
9.6,Cloud,Go,Big Data,Apple,DevOps Engineer
8.4,Web Dev,JavaScript,Backend,SAP,Software Developer
6.0,DevOps,TypeScript,Backend,Birlasoft,DevOps Engineer
6.4,DevOps,Go,Cloud Computing,HCL,System Engineer
8.7,Software Dev,C#,DBMS,TCS,System Engineer
6.0,Software Dev,C#,DBMS,Mindtree,Data Analyst
6.6,Cloud,Python,Cloud Computing,Mindtree,Cloud Engineer
8.2,DevOps,TypeScript,Backend,SAP,DevOps Engineer
8.8,Cloud,SQL,DBMS,TCS,Cloud Engineer
8.6,DevOps,SQL,Data Analytics,TCS,DevOps Engineer
6.9,DevOps,SQL,DBMS,Birlasoft,DevOps Engineer
8.8,Cloud,Go,Cloud Computing,Infosys,DevOps Engineer
6.9,Cloud,Go,Big Data,NIIT Technologies,Cloud Engineer
7.3,DevOps,SQL,DBMS,Infosys,DevOps Engineer
9.0,DevOps,SQL,Data Analytics,NVIDIA,System Engineer
8.6,Cybersecurity,C++,Cybersecurity,Oracle,Cloud Engineer
9.4,Cloud,Go,Cloud Computing,Google,DevOps Engineer
8.6,Cloud,Go,Big Data,Infosys,DevOps Engineer
8.3,Software Dev,Java,Big Data,Oracle,Data Analyst
6.4,Web Dev,SQL,DBMS,Mindtree,Software Developer
7.5,Software Dev,Java,Big Data,Cognizant,Software Developer
7.1,Cloud,Go,Cloud Computing,Infosys,Cloud Engineer
7.0,Software Dev,Java,Big Data,Infosys,Software Developer
9.9,Cybersecurity,Rust,Front End,Amazon,Cybersecurity Engineer
7.6,DevOps,Go,DevOps,HCL,System Engineer
9.6,AIML,Python,Big Data,Amazon,AI Engineer
8.5,Web Dev,TypeScript,Front End,Oracle,Web Developer
9.2,Cybersecurity,C++,Cybersecurity,Google,Cybersecurity Engineer
8.0,Cloud,Go,Big Data,Capgemini,Cloud Engineer
8.3,Cloud,SQL,DBMS,SAP,DevOps Engineer
8.0,Software Dev,C#,Backend,Infosys,Software Developer
6.8,Cybersecurity,C++,Cybersecurity,Mindtree,Cybersecurity Engineer
8.9,DevOps,Go,Cloud Computing,IBM,DevOps Engineer
7.1,Cloud,SQL,DBMS,HCL,DevOps Engineer
6.1,Cybersecurity,Rust,Front End,Mphasis,Cloud Engineer
8.6,Web Dev,TypeScript,Front End,Capgemini,Web Developer
6.7,AIML,Python,ML,NIIT Technologies,Data Scientist
9.8,Software Dev,C#,DBMS,Amazon,Data Analyst
9.8,Cybersecurity,C++,AI,IBM,Cybersecurity Engineer
9.7,Web Dev,SQL,DBMS,Amazon,Web Developer
7.5,DevOps,SQL,DBMS,HCL,System Engineer
6.1,Web Dev,TypeScript,Front End,NIIT Technologies,Software Developer
9.7,DevOps,TypeScript,Backend,Apple,DevOps Engineer
7.7,Cloud,SQL,Data Analytics,Wipro,Cloud Engineer
9.9,DevOps,TypeScript,DevOps,Apple,DevOps Engineer
9.9,Software Dev,Python,Data Analytics,Amazon,Data Analyst
9.4,Cybersecurity,Rust,Cybersecurity,Microsoft,Cloud Engineer
7.2,Software Dev,Java,Backend,Wipro,Data Analyst
7.5,Cybersecurity,C++,AI,HCL,Cybersecurity Engineer
9.4,Cybersecurity,Rust,Cybersecurity,OpenAI,Cybersecurity Engineer
7.3,DevOps,SQL,DBMS,Tech Mahindra,DevOps Engineer
6.7,AIML,Python,ML,Mindtree,Data Scientist
8.2,Cloud,SQL,DBMS,SAP,DevOps Engineer
9.7,Cloud,Go,Cloud Computing,NVIDIA,DevOps Engineer
8.8,AIML,Java,Big Data,IBM,AI Engineer
8.3,Web Dev,SQL,Data Analytics,IBM,Software Developer
6.4,Web Dev,SQL,DBMS,Mindtree,Software Developer
8.5,DevOps,TypeScript,Backend,TCS,DevOps Engineer
10.0,Software Dev,C#,DBMS,Amazon,Data Analyst
6.6,Cybersecurity,C++,Cybersecurity,Mphasis,Cybersecurity Engineer
8.1,DevOps,SQL,DBMS,SAP,System Engineer
9.5,AIML,R,Data Analytics,Amazon,AI Engineer
9.0,AIML,Python,Big Data,NVIDIA,AI Engineer
8.8,Cybersecurity,Rust,Front End,TCS,Cloud Engineer
8.8,Web Dev,SQL,DBMS,SAP,Software Developer
7.4,Cloud,SQL,Data Analytics,TCS,Cloud Engineer
7.2,Web Dev,TypeScript,Front End,Infosys,Web Developer
9.2,Cloud,Go,Big Data,Amazon,DevOps Engineer
9.2,Software Dev,Java,Backend,Microsoft,System Engineer
9.5,AIML,Python,Big Data,IBM,AI Engineer
9.7,AIML,Java,Big Data,NVIDIA,AI Engineer
8.0,AIML,Java,AI,Capgemini,AI Engineer
8.0,Web Dev,JavaScript,Backend,Oracle,Software Developer
9.2,Cybersecurity,Rust,Front End,IBM,Cloud Engineer
8.6,DevOps,TypeScript,DevOps,SAP,DevOps Engineer
8.8,DevOps,Go,Cloud Computing,Oracle,System Engineer
9.2,Cybersecurity,Rust,Front End,Microsoft,Cloud Engineer
9.6,Cybersecurity,Rust,Cybersecurity,IBM,Cybersecurity Engineer
7.4,DevOps,SQL,Data Analytics,Cognizant,System Engineer
7.5,Cybersecurity,Rust,Front End,Tech Mahindra,Cloud Engineer
6.4,Software Dev,Python,Data Analytics,HCL,Software Developer
8.3,Web Dev,SQL,DBMS,TCS,Software Developer
6.1,Cloud,SQL,Data Analytics,NIIT Technologies,DevOps Engineer
7.9,Cybersecurity,C++,AI,HCL,Cloud Engineer
8.2,DevOps,SQL,Data Analytics,TCS,System Engineer
7.1,Software Dev,C#,Backend,HCL,Software Developer
8.4,Software Dev,Python,Data Analytics,Capgemini,Software Developer
6.1,AIML,R,Data Analytics,HCL,Data Scientist
6.1,Cloud,Python,Cloud Computing,HCL,DevOps Engineer
9.3,Web Dev,TypeScript,Backend,OpenAI,Software Developer
7.4,Software Dev,C#,Backend,Infosys,System Engineer
6.5,Software Dev,Java,Big Data,Mphasis,Data Analyst
8.1,DevOps,TypeScript,Backend,TCS,DevOps Engineer
9.1,Web Dev,SQL,Data Analytics,Microsoft,Web Developer
6.9,DevOps,SQL,DBMS,Mphasis,System Engineer
8.5,Software Dev,Python,Data Analytics,Infosys,Software Developer
6.3,AIML,Python,ML,Birlasoft,Data Scientist
6.2,DevOps,SQL,Data Analytics,Mphasis,System Engineer
8.1,AIML,R,ML,Oracle,Data Scientist
8.2,DevOps,TypeScript,DevOps,Oracle,System Engineer
8.5,AIML,R,Data Analytics,IBM,AI Engineer
8.9,AIML,Java,AI,IBM,AI Engineer
9.9,DevOps,Go,DevOps,Amazon,System Engineer
8.1,DevOps,Go,Cloud Computing,Infosys,DevOps Engineer
7.3,Cloud,Python,DevOps,Tech Mahindra,DevOps Engineer
9.2,Software Dev,Python,Big Data,NVIDIA,Data Analyst
7.1,Web Dev,SQL,Data Analytics,Cognizant,Software Developer
7.8,Cybersecurity,Rust,Cybersecurity,Wipro,Cybersecurity Engineer
6.3,Software Dev,Python,Data Analytics,NIIT Technologies,Software Developer
6.1,Cloud,Python,DevOps,HCL,Cloud Engineer
9.9,Cybersecurity,C++,AI,Amazon,Cybersecurity Engineer
9.3,Web Dev,JavaScript,Backend,NVIDIA,Web Developer
8.8,Cloud,Go,Cloud Computing,TCS,DevOps Engineer
7.6,Software Dev,Python,Data Analytics,TCS,Data Analyst
6.7,Software Dev,C#,DBMS,Mindtree,System Engineer
6.6,Cloud,SQL,DBMS,Mindtree,DevOps Engineer
7.0,AIML,R,ML,Tech Mahindra,Data Scientist
8.2,Cloud,Python,DevOps,Infosys,DevOps Engineer
8.9,Cybersecurity,Rust,Cybersecurity,IBM,Cloud Engineer
8.6,Cybersecurity,Rust,Cybersecurity,Infosys,Cloud Engineer
7.1,Web Dev,TypeScript,Backend,HCL,Web Developer
9.8,Cloud,Go,Cloud Computing,NVIDIA,Cloud Engineer
9.0,AIML,Java,Big Data,IBM,AI Engineer
8.2,Web Dev,SQL,DBMS,Oracle,Software Developer
8.4,DevOps,Go,Cloud Computing,Infosys,System Engineer
7.7,Cloud,SQL,DBMS,TCS,Cloud Engineer
7.0,Web Dev,TypeScript,Front End,TCS,Web Developer
7.4,AIML,R,Data Analytics,Wipro,Data Scientist
9.0,Software Dev,C#,Backend,Amazon,Software Developer
6.1,AIML,R,ML,HCL,Data Scientist
6.5,Cloud,SQL,Data Analytics,NIIT Technologies,Cloud Engineer
6.2,Software Dev,Java,Big Data,NIIT Technologies,System Engineer
6.2,Software Dev,C#,DBMS,Mphasis,Software Developer
9.4,Software Dev,C#,Backend,Amazon,System Engineer
8.8,DevOps,Go,Cloud Computing,SAP,System Engineer
7.9,Cybersecurity,Rust,Cybersecurity,Infosys,Cloud Engineer
6.4,Web Dev,JavaScript,Backend,Birlasoft,Web Developer
8.0,Cloud,Python,DevOps,Infosys,DevOps Engineer
7.9,Web Dev,SQL,DBMS,Cognizant,Software Developer
6.7,DevOps,Go,DevOps,Mindtree,DevOps Engineer
7.7,DevOps,Go,Cloud Computing,Infosys,System Engineer
7.6,DevOps,TypeScript,Backend,Infosys,DevOps Engineer
8.5,Web Dev,TypeScript,Front End,Infosys,Web Developer
8.5,Web Dev,SQL,DBMS,Infosys,Web Developer
6.2,AIML,Java,AI,HCL,Data Scientist
7.5,Cybersecurity,C++,Cybersecurity,HCL,Cloud Engineer
8.5,Web Dev,JavaScript,Front End,Oracle,Web Developer
8.0,Software Dev,C#,DBMS,Infosys,System Engineer
9.4,Cloud,SQL,DBMS,OpenAI,DevOps Engineer
8.6,Software Dev,Python,Big Data,Infosys,Software Developer
6.7,Cybersecurity,C++,Cybersecurity,NIIT Technologies,Cybersecurity Engineer
6.3,Web Dev,JavaScript,Backend,Mphasis,Web Developer
8.6,Cloud,Go,Cloud Computing,Infosys,DevOps Engineer
6.1,Web Dev,TypeScript,Backend,Birlasoft,Web Developer
8.3,Web Dev,SQL,DBMS,IBM,Software Developer
9.8,AIML,Python,Big Data,Google,Data Scientist
8.3,Software Dev,C#,DBMS,SAP,Software Developer
7.6,Software Dev,Java,Big Data,Wipro,Data Analyst
8.6,Software Dev,Python,Big Data,TCS,Data Analyst
7.8,Cloud,Python,Cloud Computing,Wipro,DevOps Engineer
8.2,Web Dev,JavaScript,Front End,TCS,Web Developer
9.8,DevOps,Go,DevOps,OpenAI,System Engineer
7.5,DevOps,TypeScript,Backend,HCL,DevOps Engineer
9.8,Cybersecurity,C++,AI,Apple,Cloud Engineer
9.6,DevOps,Go,Cloud Computing,Microsoft,System Engineer
6.8,Cybersecurity,Rust,Front End,NIIT Technologies,Cybersecurity Engineer
6.3,Cybersecurity,Rust,Front End,HCL,Cloud Engineer
6.4,Cybersecurity,Rust,Cybersecurity,NIIT Technologies,Cloud Engineer
6.1,DevOps,TypeScript,DevOps,HCL,System Engineer
6.4,Software Dev,Java,Big Data,NIIT Technologies,Software Developer
8.7,Web Dev,JavaScript,Front End,Capgemini,Web Developer
6.3,Cybersecurity,Rust,Cybersecurity,Mindtree,Cloud Engineer
7.3,Cybersecurity,Rust,Cybersecurity,Wipro,Cloud Engineer
9.4,DevOps,TypeScript,Backend,IBM,System Engineer
6.1,AIML,Python,ML,Mphasis,Data Scientist
9.3,DevOps,SQL,DBMS,IBM,System Engineer
7.1,Web Dev,JavaScript,Backend,Tech Mahindra,Web Developer
6.5,Cloud,Go,Cloud Computing,Mindtree,DevOps Engineer
8.8,Web Dev,SQL,Data Analytics,Capgemini,Software Developer
8.5,Cloud,Python,DevOps,Infosys,DevOps Engineer
9.5,Cybersecurity,Rust,Front End,NVIDIA,Cloud Engineer
8.9,Software Dev,Java,Big Data,TCS,Data Analyst
9.2,Cybersecurity,C++,AI,NVIDIA,Cybersecurity Engineer
7.1,Cloud,Go,Big Data,Wipro,DevOps Engineer
6.7,Cybersecurity,Rust,Cybersecurity,Mphasis,Cybersecurity Engineer
9.0,Web Dev,TypeScript,Front End,Google,Web Developer
9.2,DevOps,TypeScript,DevOps,Apple,DevOps Engineer
10.0,DevOps,TypeScript,DevOps,Microsoft,System Engineer
7.7,Web Dev,SQL,DBMS,Wipro,Web Developer
7.5,Cybersecurity,C++,Cybersecurity,Infosys,Cloud Engineer
9.1,Software Dev,Java,Big Data,Amazon,Data Analyst
7.4,AIML,R,ML,HCL,Data Scientist
9.7,Web Dev,TypeScript,Backend,Amazon,Web Developer
9.4,Cloud,Go,Cloud Computing,IBM,DevOps Engineer
7.7,DevOps,Go,DevOps,HCL,DevOps Engineer
9.0,Software Dev,C#,Backend,Microsoft,System Engineer
9.0,Software Dev,Java,Big Data,NVIDIA,Data Analyst
6.4,DevOps,Go,DevOps,NIIT Technologies,DevOps Engineer
9.6,Web Dev,TypeScript,Front End,OpenAI,Software Developer
8.0,Cloud,SQL,DBMS,Capgemini,DevOps Engineer
9.3,AIML,Python,Big Data,IBM,AI Engineer
7.3,Web Dev,JavaScript,Backend,Tech Mahindra,Software Developer
9.6,Cloud,SQL,Data Analytics,Google,Cloud Engineer
7.6,AIML,Python,Big Data,Wipro,Data Scientist
6.0,Software Dev,Python,Big Data,Birlasoft,System Engineer
9.6,Software Dev,Python,Big Data,IBM,System Engineer
6.4,Software Dev,Java,Big Data,Mphasis,Software Developer
7.3,Web Dev,JavaScript,Front End,TCS,Web Developer
9.8,Cloud,SQL,Data Analytics,NVIDIA,DevOps Engineer
9.8,AIML,R,Data Analytics,IBM,AI Engineer
8.3,DevOps,TypeScript,DevOps,Infosys,DevOps Engineer
8.5,Software Dev,Java,Backend,Capgemini,Software Developer
7.8,Cloud,Python,Cloud Computing,HCL,Cloud Engineer
7.2,Cloud,SQL,DBMS,Wipro,DevOps Engineer
7.3,Web Dev,JavaScript,Front End,HCL,Web Developer
8.7,Web Dev,SQL,DBMS,Infosys,Software Developer
9.0,Cloud,SQL,Data Analytics,IBM,DevOps Engineer
9.2,AIML,Java,Big Data,Microsoft,Data Scientist
9.2,Software Dev,C#,Backend,Apple,Data Analyst
6.4,Cybersecurity,C++,AI,Mphasis,Cybersecurity Engineer
8.0,Cybersecurity,C++,AI,Infosys,Cybersecurity Engineer
6.2,AIML,Java,AI,NIIT Technologies,Data Scientist
8.2,DevOps,TypeScript,DevOps,Infosys,DevOps Engineer
7.8,Web Dev,TypeScript,Front End,Cognizant,Web Developer
9.6,Software Dev,Java,Big Data,Apple,Software Developer
7.4,Web Dev,SQL,DBMS,Cognizant,Web Developer
6.5,Cybersecurity,Rust,Front End,Mphasis,Cybersecurity Engineer
6.6,Cybersecurity,C++,Cybersecurity,Mphasis,Cloud Engineer
9.0,Cloud,Python,Cloud Computing,NVIDIA,DevOps Engineer
8.5,AIML,Python,ML,IBM,Data Scientist
6.4,DevOps,SQL,DBMS,Mphasis,System Engineer
6.3,Cybersecurity,Rust,Front End,Birlasoft,Cloud Engineer
